"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","1169","ExplicitIPooledEnumerable","Yes","IPooledEnumerable itemlist = from.Map.GetItemsInRange("
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","1196","ExplicitIPooledEnumerable","Yes","IPooledEnumerable moblist = from.Map.GetMobilesInRange("
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","1249","ExplicitIPooledEnumerable","Yes","IPooledEnumerable itemlist = from.Map.GetItemsInRange(from.Location, Map.SectorSize);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttach/XmlAttach.cs","1278","ExplicitIPooledEnumerable","Yes","IPooledEnumerable moblist = from.Map.GetMobilesInRange(from.Location, Map.SectorSize);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttachments/XmlPoints.cs","243","DirectForeachRangeScan","No","foreach (Mobile m in duelloc.DuelMap.GetMobilesInRange(duelloc.DuelLocation, duelrange))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttachments/XmlPoints.cs","2331","DirectForeachRangeScan","No","foreach (Mobile m in killer.GetMobilesInRange(16))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlAttachments/XmlPoints.cs","2338","DirectForeachRangeScan","No","foreach (Mobile m in killed.GetMobilesInRange(16))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/BaseChallengeGame.cs","256","DirectForeachRangeScan","No","foreach (Mobile p in this.GetMobilesInRange(ArenaSize))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/KingOfTheHillGauntlet.cs","162","DirectForeachRangeScan","No","foreach (Mobile p in this.GetMobilesInRange(0))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/LastManStandingGauntlet.cs","350","DirectForeachRangeScan","No","foreach (Mobile m in killed.GetMobilesInRange(16))"
