"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddStairGump.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddWallGump.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Custom:TellAFriend","Data/Scripts/Custom/TellAFriend/TellAFriend.cs","Initialize","Initialize","52","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-tellafriend.md","ReviewLater"
"Custom:TellAFriend","Data/Scripts/Custom/TellAFriend/TellAFriend.cs","Initialize","Initialize","414","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;PacketReadGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-tellafriend.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/AddGrapevines.cs","Initialize","Initialize","18","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Food/WineKeg.cs","Initialize","Initialize","441","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Brewing/Items/Kegs/AleKeg.cs","Initialize","Initialize","437","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Brewing/Items/Kegs/CiderKeg.cs","Initialize","Initialize","431","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Brewing/Items/Kegs/MeadKeg.cs","Initialize","Initialize","437","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/HungerGump/HungerGump.cs","Initialize","Initialize","20","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Homestead","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Juicing/Items/JuiceKeg.cs","Initialize","Initialize","437","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Custom:Voting","Data/Scripts/Custom/Voting/VoteCommand.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-voting.md","ReviewLater"
"Custom:Voting","Data/Scripts/Custom/Voting/VoteConfig.cs","Initialize","Initialize","43","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;PacketReadGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-voting.md","ReviewLater"
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","Initialize","Initialize","64","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;MapGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/xmlspawner.md","ReviewLater"
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/ItemFlags.cs","Initialize","Initialize","15","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/xmlspawner.md","ReviewLater"
"XMLSpawner","Data/Scripts/Custom/XMLSpawner/PacketHandlerOverrides.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","BoundsGuard","Medium","docs/codebase-audit/outputs/system-cards/xmlspawner.md","ReviewLater"
