"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Daemons/Ifreet.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Ifreet","True","Keep","","","class:Ifreet","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Imp.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Imp","True","Keep","","","class:Imp","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/LesserDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:LesserDemon","True","Keep","","","class:LesserDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/LowerDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:LowerDemon","True","Keep","","","class:LowerDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Marilith.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Marilith","True","Keep","","","class:Marilith","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/MutantDaemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:MutantDaemon","True","Keep","","","class:MutantDaemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Satan.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Satan","True","Keep","","","class:Satan","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/ShadowDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:ShadowDemon","True","Keep","","","class:ShadowDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/ShadowHound.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:ShadowHound","True","Keep","","","class:ShadowHound","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Succubus.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Succubus","True","Keep","","","class:Succubus","","","Mobiles root; serialization marker"
