"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateToll2Gump.cs","Server.Gumps","class:PCMoongateToll2Gump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateTollGump.cs","Server.Gumps","class:PCMoongateTollGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/RemoveCityBanGump.cs","Server.Gumps","class:RemoveCityBanGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/RemoveMemberGump.cs","Server.Gumps","class:RemoveMemberGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ResourceBoxGump.cs","Server.Items","class:ResourceBoxGump;enum:Pages;class:ResourceBoxTarget;class:ExtractPrompt","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/SponsorGump.cs","Server.Gumps","class:SponsorGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewCityAllegiancesGump.cs","Server.Gumps","class:ViewCityAllegiancesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewCityAtWarGump.cs","Server.Gumps","class:ViewCityAtWarGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewCityBansGump.cs","Server.Gumps","class:ViewCityBansGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewCityMembersGump.cs","Server.Gumps","class:ViewCityMembersGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewDeclaredAllegiancesGump.cs","Server.Gumps","class:ViewDeclaredAllegiancesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewDeclaredWarsGump.cs","Server.Gumps","class:ViewDeclaredWarsGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewInvitedAllegiancesGump.cs","Server.Gumps","class:ViewInvitedAllegiancesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewInvitedWarsGump.cs","Server.Gumps","class:ViewInvitedWarsGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ViewSponsoredGump.cs","Server.Gumps","class:ViewSponsoredGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/VotingStoneGump.cs","Server.Gumps","class:VotingStoneGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityHedge.cs","Server.Items","class:CityHedge","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityLampPost.cs","Server.Items","class:CityLampPost","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityTrashBarrel.cs","Server.Items","class:CityTrashCan","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/AsianCityBankAddon.cs","Server.Items","class:AsianCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/FieldstoneCityBankAddon.cs","Server.Items","class:FieldstoneCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/MarbleCityBankAddon.cs","Server.Items","class:MarbleCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/NecroCityBankAddon.cs","Server.Items","class:NecroCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/PlasterCityBankAddon.cs","Server.Items","class:PlasterCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/SandstoneCityBankAddon.cs","Server.Items","class:SandstoneCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/StoneCityBankAddon.cs","Server.Items","class:StoneCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/WoodCityBankAddon.cs","Server.Items","class:WoodCityBankAddon","Custom:Government System"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/AsianCityHallAddon.cs","Server.Items","class:AsianCityHallAddon","Custom:Government System"
