"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Zeus.cs","Custom\Champions\Mobiles\Champs-Prisons\Zeus.cs","True","True","False","False","False","","Custom:Champions","","class:Zeus","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/SerpentineDragon.cs","Custom\Champions\Mobiles\Minions\SerpentineDragon.cs","True","True","False","False","False","","Custom:Champions","","class:SerpentineDragon","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/Silvani.cs","Custom\Champions\Mobiles\Minions\Silvani.cs","True","True","False","False","False","","Custom:Champions","","class:Silvani","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Neira.cs","Custom\Champions\Mobiles\Champs-UO\Neira.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:Neira;class:VirtualMount;class:VirtualMountItem;class:DelayTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Rikktor.cs","Custom\Champions\Mobiles\Champs-UO\Rikktor.cs","True","True","False","False","False","","Custom:Champions","","class:Rikktor","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Semidar.cs","Custom\Champions\Mobiles\Champs-UO\Semidar.cs","True","True","False","False","False","","Custom:Champions","","class:Semidar","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Serado.cs","Custom\Champions\Mobiles\Champs-UO\Serado.cs","True","True","False","False","False","","Custom:Champions","","class:Serado","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionAltar.cs","Custom\Champions\System\CannedEvil\ChampionAltar.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionAltar","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionPlatform.cs","Custom\Champions\System\CannedEvil\ChampionPlatform.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionPlatform","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullBrazier.cs","Custom\Champions\System\CannedEvil\ChampionSkullBrazier.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionSkullBrazier;class:SacrificeTarget","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullPlatform.cs","Custom\Champions\System\CannedEvil\ChampionSkullPlatform.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionSkullPlatform","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullType.cs","Custom\Champions\System\CannedEvil\ChampionSkullType.cs","True","True","False","False","False","","Custom:Champions","","enum:ChampionSkullType","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawn.cs","Custom\Champions\System\CannedEvil\ChampionSpawn.cs","True","True","False","False","False","","Custom:Champions","SendGump;Timer.DelayCall","class:ChampionSpawn","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnInfo.cs","Custom\Champions\System\CannedEvil\ChampionSpawnInfo.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionSpawnInfo","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnRegion.cs","Custom\Champions\System\CannedEvil\ChampionSpawnRegion.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionSpawnRegion","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnType.cs","Custom\Champions\System\CannedEvil\ChampionSpawnType.cs","True","True","False","False","False","","Custom:Champions","","enum:ChampionSpawnType","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/IdolOfTheChampion.cs","Custom\Champions\System\CannedEvil\IdolOfTheChampion.cs","True","True","False","False","False","","Custom:Champions","","class:IdolOfTheChampion","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/RestartTimer.cs","Custom\Champions\System\CannedEvil\RestartTimer.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:RestartTimer","Keep"
