"Marker","File","Line","LikelySystem","Notes"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopRegValomIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopRegValomIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopSavageCampIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopSavageCampIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopSavageCampIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopTerortSkitasIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopTerortSkitasIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopTerortSkitasIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","36","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","482","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","488","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","494","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","500","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","506","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","512","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","518","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","524","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","530","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","536","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","542","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","548","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","554","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","560","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","566","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","572","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","578","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","584","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","590","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","596","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","602","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","608","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","614","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","620","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","626","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","632","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","638","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","644","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","650","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","656","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","662","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","668","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","674","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","680","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","686","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","692","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","698","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","704","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","710","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","716","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","722","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","728","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","734","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","740","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","746","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","752","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","758","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","764","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","770","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","776","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","782","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","788","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","794","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","800","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","806","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","812","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","818","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","824","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","830","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","836","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
"SendGump","Data/Scripts/Custom/OzThothStaticGump/StaticGump(Alternative).cs","842","Custom:OzThothStaticGump","from.SendGump(new OzThothsStaticOtherGump(from));"
