##############################
Log started on 3/14/2023 6:05:10 AM

3/14/2023 11:42:00 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:42:01 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:42:03 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:42:11 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:42:12 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:42:13 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:42:16 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:44:33 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:44:35 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:44:36 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:44:37 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:44:37 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:44:40 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:44:42 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'set2 '
3/14/2023 11:44:58 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'monkeyleap '
3/14/2023 11:45:04 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'edevastation '
3/14/2023 11:45:08 AM: 221.127.245.217: Player 0x1111C "thant" ('ddx') used command 'edevastation '
