##############################
Log started on 5/14/2023 8:01:49 AM

5/14/2023 7:34:00 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:34:01 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:34:08 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:34:09 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:35:12 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:35:22 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:35:32 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:35:49 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:36:13 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:36:23 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:36:33 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:36:45 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:37:00 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:37:14 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:37:31 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:37:45 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:37:58 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:38:08 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:38:18 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:38:33 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:38:44 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:39:00 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:39:14 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:39:28 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:39:46 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:39:56 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:40:05 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
